Model,Ratings,Reviews,Reviews2,Storage,Screen Size,Camera,Battery,Processor,Insurance,Discounted Price,Original Price,off%
"REDMI Note 12 5G (Frosted Green, 128 GB)",4.2,"10,608 Ratings",771 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,48MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹16,999","₹21,999",22% off
"REDMI Note 12 5G (Mystique Blue, 128 GB)",3.9,"6,847 Ratings",573 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,48MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹15,499","₹19,999",22% off
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.2,"69,173 Ratings","4,895 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP | 13MP Front Camera,6000 mAh Battery,"Exynos 1330, Octa Core Processor",1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"₹14,990","₹18,490",18% off
"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"2,50,618 Ratings","13,734 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999","₹18,999",31% off
"vivo T2x 5G (Marine Blue, 128 GB)",4.3,"50,420 Ratings","2,977 Reviews",8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹14,999","₹20,999",28% off
"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"1,30,314 Ratings","6,913 Reviews",4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹11,999","₹17,999",33% off
"vivo T2x 5G (Glimmer Black, 128 GB)",4.3,"50,420 Ratings","2,977 Reviews",8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹14,999","₹20,999",28% off
"REDMI Note 12 5G (Sunrise Gold, 128 GB)",3.9,"6,847 Ratings",573 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ AMOLED Display,48MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"₹15,499","₹19,999",22% off
"vivo T2x 5G (Aurora Gold, 128 GB)",4.3,"50,420 Ratings","2,977 Reviews",8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹14,999","₹20,999",28% off
"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"2,50,618 Ratings","13,734 Reviews",6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor,1 Year of Device & 6 Months for Inbox Accessories,"₹12,999","₹18,999",31% off
